County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Suffolk County, MA",25025,2020,2020,8397,801582,10.48
"Worcester County, MA",25027,2010,2010,8790,798552,11.01
"Worcester County, MA",25027,2020,2020,8103,829212,9.77
"Unidentified Counties, MA",25999,2010,2010,946,98079,9.65
"Unidentified Counties, MA",25999,2020,2020,764,99104,7.71
"Allegan County, MI",26005,2010,2010,1362,111408,12.23
"Allegan County, MI",26005,2020,2020,1197,118927,10.06
"Bay County, MI",26017,2010,2010,1171,107771,10.87
"Bay County, MI",26017,2020,2020,924,102387,9.02
"Berrien County, MI",26021,2010,2010,1965,156813,12.53
"Berrien County, MI",26021,2020,2020,1525,153025,9.97
"Calhoun County, MI",26025,2010,2010,1646,136146,12.09
"Calhoun County, MI",26025,2020,2020,1480,133580,11.08
"Eaton County, MI",26045,2010,2010,1126,107759,10.45
"Eaton County, MI",26045,2020,2020,1021,110148,9.27
"Genesee County, MI",26049,2010,2010,5240,425790,12.31
"Genesee County, MI",26049,2020,2020,4335,404794,10.71
"Ingham County, MI",26065,2010,2010,3352,280895,11.93
"Ingham County, MI",26065,2020,2020,2943,290609,10.13
"Jackson County, MI",26075,2010,2010,1878,160248,11.72
"Jackson County, MI",26075,2020,2020,1704,156920,10.86
"Kalamazoo County, MI",26077,2010,2010,3124,250331,12.48
"Kalamazoo County, MI",26077,2020,2020,2760,265988,10.38
"Kent County, MI",26081,2010,2010,8596,602622,14.26
"Kent County, MI",26081,2020,2020,8238,658708,12.51
"Livingston County, MI",26093,2010,2010,1706,180967,9.43
"Livingston County, MI",26093,2020,2020,1656,192335,8.61
"Macomb County, MI",26099,2010,2010,9108,840978,10.83
"Macomb County, MI",26099,2020,2020,8851,870791,10.16
"Monroe County, MI",26115,2010,2010,1591,152021,10.47
"Monroe County, MI",26115,2020,2020,1552,150568,10.31
"Muskegon County, MI",26121,2010,2010,2171,172188,12.61
"Muskegon County, MI",26121,2020,2020,1889,173883,10.86
"Oakland County, MI",26125,2010,2010,13091,1202362,10.89
"Oakland County, MI",26125,2020,2020,12297,1253459,9.81
"Ottawa County, MI",26139,2010,2010,3374,263801,12.79
"Ottawa County, MI",26139,2020,2020,3084,294635,10.47
"Saginaw County, MI",26145,2010,2010,2295,200169,11.47
"Saginaw County, MI",26145,2020,2020,1989,189868,10.48
"St. Clair County, MI",26147,2010,2010,1620,163040,9.94
"St. Clair County, MI",26147,2020,2020,1496,159293,9.39
"Washtenaw County, MI",26161,2010,2010,3819,344791,11.08
"Washtenaw County, MI",26161,2020,2020,3187,366473,8.7
"Wayne County, MI",26163,2010,2010,24209,1820584,13.3
"Wayne County, MI",26163,2020,2020,21800,1740623,12.52
"Unidentified Counties, MI",26999,2010,2010,22087,2202956,10.03
"Unidentified Counties, MI",26999,2020,2020,20146,2179541,9.24
"Anoka County, MN",27003,2010,2010,4191,330844,12.67
"Anoka County, MN",27003,2020,2020,3995,359921,11.1
"Dakota County, MN",27037,2010,2010,5176,398552,12.99
"Dakota County, MN",27037,2020,2020,4951,431807,11.47
"Hennepin County, MN",27053,2010,2010,15974,1152425,13.86
"Hennepin County, MN",27053,2020,2020,14837,1268408,11.7
"Olmsted County, MN",27109,2010,2010,2143,144248,14.86
"Olmsted County, MN",27109,2020,2020,1918,159298,12.04
"Ramsey County, MN",27123,2010,2010,7281,508640,14.31
"Ramsey County, MN",27123,2020,2020,6943,547903,12.67
"St. Louis County, MN",27137,2010,2010,2044,200226,10.21
"St. Louis County, MN",27137,2020,2020,1763,198538,8.88
"Scott County, MN",27139,2020,2020,1641,150689,10.89
"Stearns County, MN",27145,2010,2010,1924,150642,12.77
"Stearns County, MN",27145,2020,2020,1987,162038,12.26
